Date,E-waste (kt) per Year
2017/9/05,1.526434193
2017/9/06,1.665644695
2017/9/07,1.690590438
2017/9/08,1.700120992
2017/9/09,1.757747058
2017/9/10,1.799497826
2017/9/11,1.829809229
2017/9/12,1.844008231
2017/9/13,1.847297321
2017/9/14,1.873535989
2017/9/15,1.920428956
2017/9/16,1.926083767
2017/9/17,1.933343725
2017/9/18,1.936916596
2017/9/19,1.954855562
2017/9/20,1.986155713
2017/9/21,2.037927524
2017/9/22,2.036527254
2017/9/23,2.029737506
2017/9/24,2.031080319
2017/9/25,2.071013476
2017/9/26,2.106490353
2017/9/27,2.111263491
2017/9/28,2.075876268
2017/9/29,2.07712185
2017/9/30,2.079168758
2017/10/01,2.085682602
2017/10/02,2.078702101
2017/10/03,2.116573226
2017/10/04,2.164132685
2017/10/05,2.230433236
2017/10/06,2.299355277
2017/10/07,2.390139274
2017/10/08,2.434643878
2017/10/09,2.415936997
2017/10/10,2.347523464
2017/10/11,2.308710184
2017/10/12,2.272286812
2017/10/13,2.22774818
2017/10/14,2.167523212
2017/10/15,2.116946221
2017/10/16,2.13508991
2017/10/17,2.14237184
2017/10/18,2.167071469
2017/10/19,2.18937008
2017/10/20,2.203237861
2017/10/21,2.187620439
2017/10/22,2.219059681
2017/10/23,2.231616414
2017/10/24,2.272120697
2017/10/25,2.261869818
2017/10/26,2.255685084
2017/10/27,2.278358761
2017/10/28,2.348204207
2017/10/29,2.494031216
2017/10/30,2.636070312
2017/10/31,2.678138636
2017/11/01,2.712127679
2017/11/02,2.718319101
2017/11/03,2.716113396
2017/11/04,2.704001134
2017/11/05,2.58329835
2017/11/06,2.458496659
2017/11/07,2.420963937
2017/11/08,2.419847665
2017/11/09,2.447624037
2017/11/10,2.4694331
2017/11/11,2.468247898
2017/11/12,2.495619058
2017/11/13,2.602030363
2017/11/14,2.681876539
2017/11/15,2.738653877
2017/11/16,2.699573999
2017/11/17,2.667746922
2017/11/18,2.637272474
2017/11/19,2.583916104
2017/11/20,2.495430386
2017/11/21,2.442345253
2017/11/22,2.431677115
2017/11/23,2.495027248
2017/11/24,2.564646841
2017/11/25,2.614683033
2017/11/26,2.641723404
2017/11/27,2.646884623
2017/11/28,2.641251478
2017/11/29,2.621828091
2017/11/30,2.605205957
2017/12/01,2.589682906
2017/12/02,2.588929984
2017/12/03,2.628477417
2017/12/04,2.652827841
2017/12/05,2.68407837
2017/12/06,2.706040023
2017/12/07,2.732486579
2017/12/08,2.735598741
2017/12/09,2.816262856
2017/12/10,2.856807249
2017/12/11,2.874000187
2017/12/12,2.914877717
2017/12/13,2.960882399
2017/12/14,3.007304406
2017/12/15,3.064421152
2017/12/16,3.067575112
2017/12/17,3.108226965
2017/12/18,3.16164104
2017/12/19,3.180469319
2017/12/20,3.192551811
2017/12/21,3.308610155
2017/12/22,3.395581761
2017/12/23,3.420082462
2017/12/24,3.407369779
2017/12/25,3.405098691
2017/12/26,3.436680155
2017/12/27,3.457071716
2017/12/28,3.364485337
2017/12/29,3.304512479
2017/12/30,3.298527746
2017/12/31,3.343959085
2018/1/01,3.378642336
2018/1/02,3.382493245
2018/1/03,3.436080546
2018/1/04,3.514019637
2018/1/05,3.573047175
2018/1/06,3.639184068
2018/1/07,3.66107202
2018/1/08,3.705174272
2018/1/09,3.737095685
2018/1/10,3.743280115
2018/1/11,3.739041597
2018/1/12,3.772074522
2018/1/13,3.804147102
